,jieba_results
83, 接著 本席 要 請教 教育局  局長 本席 對 你 抱 以 厚望 聽說 你 對 教育 也 是 非常 有 熱誠 的  所以 本席 針對 以下 幾個 的 問題 希望 局長 克服 目前 的 困境 協助 當地 居民 受 教權 上 的 困擾  第一 個 部分 針對 高雄市 的 美術館 區 我 在 八年 前 擔任 議員 的 時候 極力爭取 那個 地方 因為 是 一個 文化 的 高級 住宅區 我們 希望 推動 當地 能 有 在 地 的 小學 所以 有 了 美術館 小學 今年 我們 總算 看到 美術館 小學 設立  但是 在 設立 的 過程 中 我們 看到 很多 家長 人心惶惶  因為 當初 本席 建議 的 是 新設 的 美術館 小學 是 在 地 的 小學 因為 人口 已經 足夠 就讀 這所 小學 但是 教育局 的 政策 後來 竟然 大轉彎 改成 中山國小 和 九如國小 兩所 學校 遷 到 美術館  結果 造成 很多 家長 的 擔心 原本 就讀 中山 九如 的 如果 有 兩個 小朋友 的 就讀 問題 要 怎麼 處理  後來 討論 一番 之後 也 開 了 公聽會 政策 又 轉彎 了 九如 中山 的 遷校 又 變成 中山國小 的 遷 校案 然後 把 九 如 的 又 留在 原址  現在 又 變成 美術館 在 地 的 小朋友 家長 們 又 擔心 了 因為 依照 教育局 目前 給的 訊息 似乎 是 美術館 區的 龍水里 就 這一個 里 的 學童 居然 沒有 辦法 全部 去 就讀 美術館 小學 這對 美術館 區的 居民 而言 是 一個 傷害  我 希望 在 此 建議 局長 針對 兩個 部分 請 你們 趕快 去 研擬 對策  第一 請 你 務必 保障 當地 的 里 就 一個 里 美術館 社區 龍水里 的 小朋友 都 能夠 享有 受 教權 在 美術館 小學 的 就學 權利  第二 因為 是 我們 教育局 後來 內部 自己 做 了 變更 變來變去 的 所以 後來 導致 把 中山國小 用 遷校 的 方式 到 美術館  有 的 家長 第一 個 小朋友 依照 目前 規定 第一年 可以 就讀 美術館 小學 但是 第二個 小朋友 也許 明 後 年 要 入學 了 結果 你們 就 卡 在 只有 第一年 能夠 就讀 美術館 小學 的 規定  導致 家長 在 接送 的 時候 第一 個 小朋友 送到 美術館 小學 第二個 小朋友 要 送到 更 偏遠 的 地方 這對 家長 來講 是 變相 的 懲罰  所以 本席 建議 像 這種 特殊 案例 因為 遷校 的關 係 導致 侵害 當地 小朋友 的 就學 權利 我 認為 局長 應該 要 專案處理 因為 人數 不會 非常 多 專案 特別 予以 協助 入學  所以 有 兩個 部分 美術館 區 龍水里 的 小朋友 保障 完全 入學  第二 原本 中山國小 學區 周邊 有 兩個 小朋友 的 也 應該 要 優先 保障 第二個 小朋友 也 能 一 併 入學 免除 家長 分開 接送 的 困擾 和 麻煩  局長 這部分 是否 可以 協助 教育局范局長巽綠 謝謝 陳 議員 長期 關心 美術館 小學  目前 的 規劃 是 龍水里 的 學生 都 要 能 入學  因為 中山國小 遷校 的 問題 希望 往 兩邊 小朋友 都 能 入學 的 方向 規劃  我們 的 戴 副局長 會 主持會議 做 通盤 的 檢討 希望 能夠 保障 沒有 問題  陳議員美雅 局長 非常 開心 聽到 你 做到 保障 我們 當地 小朋友 的 就學 權利 我 想 當地 的 家長 也 都 非常感謝 你 這方面 的 協助 會後 也 麻煩 請 專責 的 副局長 向 我 回報  另外 一個 部分 本席 請 教育局長 能 針對 大方向 予以 協助 有 三個 部分 請 你 是否 能朝 這些 大方向 規劃  第一 個 部分 是 針對 技職 教育 其實 本席 在 八年 前 就 一直 在 提 高雄市 非常 需要 專職 這些 技職 的 人才 是 非常 重要 的 我 希望 由 我們 市政府 這邊 優先 做起 所以 在 勞工局 部門質詢 的 時候 本席 也 要求 勞工局長 能 加強 技職 教育 他們 跟 畢業生 及 工作 單位 能 加速 媒合 的 機會  在 此 本席 另外 要 建議 的 是 因為 勞工局 和 經發局 有 編列 移居 津貼 如果 外縣市 的 人 要 到 高雄市 就業 反而 會 補助   元到  萬元 不等 的 津貼  本席 建議 這樣 會 讓 高雄市 的 技職 人員 有點 傷心 所以 我 覺得 要 有 一個 宣示 性 我們 是不是 應該 酌予 給 高雄 在 地 的 畢業生 如果 表現 優異 的 應該 給予 一些 名額 給 高雄市 的 技職 畢業生 補助 的 津貼 反而 可以 留住 高雄市 在 地 的 人才 會 比 一直 去 吸引 外地 的 人才 來 高雄市 更有意義 這是 第一 個 部分 有關 技職 人員 的 部分  第二個 部分 本席 要 建議 教育局 因為 現在 社區 有 樂齡中心 這是 教育部 補助 高雄市 的 補助 經費 到 各個 學校  但是 目前 很 可惜 的 是因為 經費有限 所以 沒有 辦法 普及 到 很多 學校  局長 本席 也 建議 是否 能 請 負責 的 同仁 能 針對 這部分 多向 中央 爭取 一些 經費 甚至 可以 的話 我們 府 內 也 可以 編列 經費 因為 現在 太多 的 長輩 在 面臨 高齡 化 的 現象 之下 我們 希望 給 長輩 更 多 學習 的 空間 也 請 局長 多多 關心 樂齡中心 這部分  另外 我們 上次 參加 記者會 的 時候 聽到 很多 教師 的 心聲 他們 認為 國小 代課老師 目前 就 比例 來看 似乎 有點 過高 是否 可能 由 中央 給予 高雄市 去年 聽說 是  億 的 情況 下 有沒有 可能 未來 在 爭取 這些 代課老師 經費 時 能夠 多一點 正職 教師 的 員額 我 想 對 於 學生 的 受 教權 來講 會 更好 一點  針對 這 三個 部分 待會 請 局長 給 我們 一個 大方向 的 回覆 你 支 不 支持 請 你 做 一個 說明 
84, 本席 因為 時間 有限 本席 在 此要 請教 文化局 長  局長 本席 會以 兩 大部分 跟 你 探討  第一 個 部分 我會 針對 大方向 其實 很多 的 議員 也 都 在 關心 有關 於 災款 的 運用 我們 把 九百 四十多萬 用 在 藝術 週 然後 二百多萬 用 在 復 原 專書 的 部分  誠如 剛剛 主席 有講 如果 做 這些 事情 對 於 氣爆 區的 居民 是 有 幫助 大家 是 會 支持 只是 用到 善款 大家 會 有 很大 的 疑問  所以 本席 要 請 局長 第一 個 請 你 把 你們 相關 運用 的 明細 提供 給 本席 
85, 第二個 部分 本席 要 請教 的 是 本席 其實 喊 非常 多年 了 美術館 農 瑞豐 社區 是 人口 一直 在 成長 的 區域 但是 一直 沒有 辦法 找到 適合 的 地點 成立 圖書館  所以 我 這邊 要 建議 第一 個 儘 速 再 找 地點 我 不 相信 高雄市政府 在 美術館 農 瑞豐 社區 沒有 市有 的 地 我 想 應該 是 有 局長 我 希望 圖書館 這個 部分 要 再 加以 努力  第二個 部分 本席 上次 向 你們 請教 過 我 在 市政質詢 也 向 市長 提 這個 問題 如果 在 現行 財政 還有 現行 再 找 地 可能 有 問題 的 情況 下 是否 可以 先 用 目前 凹子底森林公園 裡面 有 一處 叫做 遊客 休憩 中心 先 把 它 和 養工處 這邊 共同 規劃 一個 比較 適合 當地 可以 去 閱讀 的 圖書中心  第三個 問題 針對 旗津 圖書館 我 上次 也 有 提過 旗津 圖書館 很 可惜 藏書 實在 是 太 老舊 了 而且 書籍 量 非常少 本席 去 看過 沒有 甚麼 可 供 參閱 的 書籍 所以 本席 建議 我 希望 三個 月 內 可以 看到 成果 圖書 應該 不是 太 困難 的 事  旗津區 的 這些 小朋友 比較 弱勢 所以 我 希望 閱讀 能夠 打開 他們 的 眼界 因此 我 希望 能夠 立即 看到 成效 在 旗津 圖書館 立刻 增加 豐富 他們 的 藏書  我 也 建議 如果 教育局 這邊 行有餘力 可以 和 文化局 這邊 共同 協助 旗津 的 中小學 豐富 它們 的 藏書  針對 這 幾個 問題 本席 要 請 文化局 長 答覆 最後 再 請 教育局長 針對 那些 問題 做個 宣示 性 的 答覆  文化局史局長哲 關 於 旗津 圖書館 藏書 的 部分 我會 責成 市 總圖 這邊 來 進行 瞭解 如果 可能 的話 我 想 儘 快 增加 它們 的 藏書 這個 我們 會 很 願意 來 支援 在 整體 資源 的 調配 上 只要 可行 我們 都 願意 支援  陳議員美雅 好  文化局史局長哲 再 來 有關 於 陳 議員 在 關心 的 整個 美術館園區 凹子底 部分 關於 和 養工處 協調 的 部分 我們 現在 正在 進行 不過 養工處 應該 也 有 它 使用 上 的 考量 所以 不是 單方面 文化局 的  陳議員美雅 上次 我 在 市政質詢 有 向 市長 討教 市長 好像 有 責成 你們 做 研擬 了  文化局史局長哲 是 我們 會 繼續 把 這部分  陳議員美雅 就 不是 單一 養工處 的 問題 好不好 文化局史局長哲 我們 會 繼續 把 和 養工處 協調 的 狀況 讓 陳 議員 瞭解 看看 它 執行 的 狀況 如何 以及 未來 是不是 能夠 找尋到 適當 的 地點 能夠 來 解決 這個 地方 人口 集中 而且 快速 成長 的 圖書館 需求 我們 會 繼續 努力 來 尋找  至於 陳 議員 所要 的 資料 我會 提供  陳議員美雅 一週 內 提供  文化局史局長哲 事實上 已經 公開 了 都 已經 公開 在 網站 上 所以 如果 議員 需要的話 我們 會 再 另外 紙本 提供  陳議員美雅 請 你們 是不是 派 個人 來 說明 你們 到底 是 做 了 哪些 事情  文化局史局長哲 是 沒有 問題   好 
86, 教育局范局長巽綠 陳 議員 有 三個 問題 關於技職 教育學 生 畢業 後 的 就業 我們 會 和 勞工局 或 經發局 一起 討論 是不是 對 在 地 就業 也 有 個 好 的 鼓勵 機制  樂齡中心 目前 設置  個 朝向 一區 一個 樂齡中心 但是 有  個 其實 是 委 託 給 民間團體 辦理 的 可是 樂齡中心 其實 除了 區要 有 以外 更 需要 社區化 對 於 老人 邁向 老齡 的 社會 非常 需要  關 於 代理 代課老師 的 部分 我們 現在 成立 一個 叫做 師資 人力 規劃 小組 整體 就 老師 的 退休 數 代理 代課 人數 還有 它 的 師資 結構 問題 會 做 個 短 中 長期 的 規劃 不要 讓 老師 每年 都 在 談 到底 今年 要聘 多少 老師 每年 擔心 自己 被 移 撥出去 我們 希望 是 個 安定 穩固 專業 高品質 的 師資   會 的  主席 陳議員信瑜 上午 的 議程 到此結束 下午  時  分 繼續 開會 散會 
87, 陳議員美雅 針對 今天 農林部門 的 質詢 本席 想要 先 請教 水利局 長 局長 有 一個 公安 的 意外事故 我 不 曉得 你 清 不 清楚 大概 在 去年 的 時候 高雄市鼓山區 的 明華路 後來 調查 出來 的 原因 為什麼 那一條 道路 會破 了 一個 大洞 好像 是 水利局 的 箱涵 涵管 的 污水下水道 的 管線 因為 外漏 導致 地層 破洞 破洞 約 四十 乘 四十 這麼 大 的 範圍 深有  公分 的 大洞  你們 在 現場 的 馬上 做 的 緊急 危機 處理 做 的 也 不夠 好 導致 經過 明華路 的 高雄 市民 因為 騎 摩托車 沒有 看到 你們 所 設置 的 緊急 警示 標誌 因此 掉 到 坑洞 又 彈出去 現在 人受 了 重傷  根據 市民 的 陳情 我們 知道 他 受傷 的 情形 非常 嚴重 我們 現在 想要 協助 了解 水利局 在 這件 公安 事故 上 本席 認為 水利局 應該 負起 你們 的 責任 而 不是 推 給 被害人 請 他們 去 打 國賠 或是 自己 去向 廠商 協調 這個 對 高雄 市民 的 人身安全 是 沒有 保障 的 為什麼 呢 高雄 市民 在 高雄 的 任何 一條 道 路上 行走 大家 都 主觀 上 認為 高雄市 的 道路 是 平 的 高雄市 的 道路 不 可能 到處 都 會 有 破 一個 大洞 情形 因此 市政府 責無旁貸 應該 要 負起 你們 該負 的 責任 本席 在 這裡 要求 水利局 長 是否 可以 責成 專責 的 單位 來 協助 並且 本席 要 要求 未來 一定 要 避免 類似 的 道路 安全事故 並且 發生率 一定 要 減少 請 局長 答覆  主席 林議員富寶 請 局長 答覆  水利局蔡代理局長長展 謝謝 陳 議員 對 這件 事 的 提醒 針對 這個 案子 我們 局 裡面 是 責成 蔡主 秘淑貞 做 對口 局 裡面 碰到 這些 相關 的 案件 其實 都 由 主秘 這邊 來 做 協調 我 想 我們 不 應該 去 和 受害者 說 是因為 他 的 一些 相關 關 係 直接 推 給 廠商 這個 部分 我們 後續 會 積極 和 徐小姐 協商  未來 我們 的 工程 在 交通 交管 的 相關 措施 部分 我們 會 確實 檢討 並 嚴格要求 廠商  陳議員美雅 局長 我 很 慶幸 你 願意 面對 這個 問題 並 出面 來 解決 不要 再 推 責任 了 不要 再說 這是 廠商 的 責任 高雄市 的 污水下水道 如果 發生 問題 的話 水利局 是 專責 單位 若 造成 高雄 市民 的 人身安全 受損 的話 請 你們 一定 要 負起 責任 所以 後續 請主秘 和 當事人 溝通 協調 看要 如何 來 協助 當事人 可以 嗎 後續 進度 為何 請 跟 本席 做 回報  接著 本席 還有 幾個 問題 要 請教 代理 局長 我 想 請教 你 針對 旗津二路 的 排洪 系統 目前 旗津區 有 在 施作 從 旗津 的 天聖宮 這邊 開始 做 排水 我 想 了解 一下 你們 針對 這個 部分 目前 預計 完工 時 程 為何 因為 有 當地 民眾 反映 可能 是 包商 施作 的 過程 當中 可能 會 不 小心 導致 停水 所以 你們 在 施作 的 品質 要求 上 是否 有 更加 嚴謹 預計 何時 完工 水利局蔡代理局長長展 天聖宮 附近 的 涵箱 改道 是 在 今年  月 才 要 開始 施作 目前 在 現場 做 的 應該 是 污水 我們 現在 在 旗津 做 的 大部分 都 是 污水 工程  陳議員美雅 民眾 反映 好像 有 水管 被 挖 破 導致 停水  對  那個 是 之前 的 工程 水利局蔡代理局長長展 對 我們 現在 都 還在 執行 污水下水道 工程 確實 有 一些 挖 到 水管 之類 的 這個 部分 我們 現場 的 監造 人員 都 會 立即 去 做 處理  陳議員美雅 所以 本席 要 建議 我們 民意代表 非常 希望 幫 當地 的 居民 旗津 也好 或是 鹽埕區 坦白說 鹽埕區 當初 是 高雄市 最 繁榮 的 社區 可是 很 可惜 當初 他 的 污水下水道 的 系統 沒有 建置 的 很 好  其實 從前 幾年 開始 就 陸陸續續 就 有 在 施作 我們 也 有 一直 跟 水利局 建議 要 趕快 來 做 但是 在 施作 過程 中 常常 有 一些 不夠 周延 的 地方 反而 導致 當地 民眾 有 許多 民怨 所以 本席 建議 是不是 在 針對 旗津區 還有 鹽埕區 污水下水道 甚至 你們 現在 所列 的 排水 整治 工程 請 你們 能夠 更加 保障 施作 的 品質 後續 也 請 你們 再 把 詳細 的 內容 提供 給 本席 這是 第二個 部分 針對 污水下水道 和 排水 整治 工程 
88, 第三個 部分 本席 要 請教 你 的 是 針對 高雄市鼓山區 很 可惜 就是 常常 會 遭受 水患 的 困擾 每次 一到 颱風天 一定 會 淹水 然後 淹水 比較嚴重 的 其實 我 每年 在 議事廳 都 有 質詢 譬如 鼓山二路 和 鼓山三路 還有 九如四路 更何況 是 高雄市 號稱 高級 住宅區 的 美術館 區 青海路 也 都 會 面臨 到 淹水 的 問題 並且 在 鹽埕區 譬如 河濱里 周邊 愛河 周邊 也 都 會 面臨 到 淹水 本席 希望 今年 能夠 看到 不要 再有 淹水 的 情形 了 好不好 我 也 希望 能夠 看到 你們 針對 這些 部分 今年 的 防治 措施 各 為何 待會 我 留 時間 給你 你 可以 簡單 答覆  但 在 答覆 之前 本席 有個 更 重要 的 問題 要 請教 你 我們 非常 慶幸 一直 在 推動 台泥 那個 區塊 已經 荒廢 很 久 而 台泥 其實 也 造成 鼓山區 非常 大 的 傷痛 為什麼 呢 因為 它 造成 當地 很多 的 空氣污染  現在 它 要 重新 做 開發 的 同時 它 現在 把 土地 釋放出來 讓 高雄市政府 施作 滯洪池 這個 我們 也 推動 了 很 久 我們 很 高興 今年 你們 已經 要 施作 預計 要 來 完工  本席 想要 瞭解 的 是 針對 台泥 滯洪池 的 部分 目前 的 經費 完全 是 由 中央 和 地方 來 負擔 而已 嗎 各是 多少 請答 覆  水利局蔡代理局長長展 整個 滯洪池 的 總 經費 是  億 市政府 這邊 是 出資   萬 其餘部分 都 是 中央補助  陳議員美雅 台泥 完全 沒有 任何 的 責任 和 任何 的 義務 嗎 水利局蔡代理局長長展 台泥 的 部分 就是 先 提供 土地 我們 的 土地 其實 是 由 台泥 這邊 來 提供 的 當然 它 是 併 在 它 的 整個 都市計畫 的 變更 提供 出 這個 公設  陳議員美雅 局長 台泥 原本 那一塊 土地 的 使用 目的 是 什麼 水利局蔡代理局長長展 原來 它 是 工業區 但是 它 現在 透過 都市計畫 整體 開發  陳議員美雅 已經 變更 了 對 不 對 它 由 工業區 辦 更 為什麼 特商 耶 由 工業區 辦 更為 特商 和 住宅區  水利局蔡代理局長長展 部分 它 有些 是 提供 做 公共設施 使用  陳議員美雅 其他 還有 哪些 當作 公共設施 使用 水利局蔡代理局長長展 譬如 它 整個 區塊  陳議員美雅 滯洪池 以外 還有 哪裡 水利局蔡代理局長長展 還是 會劃 一些 周邊 的 道路 系統 之類 的  陳議員美雅 這是 本來 就 應該 要 提供 出來 的 任何 一塊 地要 辦 重劃 的 時候 這個 是 地主 本來 就要 提供 出來 的 都市計畫法 就是 這樣 規定  水利局蔡代理局長長展 對 所以 它 要  陳議員美雅 所以 你們 有 獨厚 台泥 嗎 水利局蔡代理局長長展 沒有 因為 這個 開 發案  陳議員美雅 所以 本席 還是 要 建議 因為 我 看到 我們 的 報告 你 剛剛 講 其實 中央 和 地方 共同 出資 你 說 中央 大概 負擔  億   多萬  水利局蔡代理局長長展  億   多萬  陳議員美雅  億   多萬 然後 高雄市政府 這邊 大概 是 負擔   多萬  水利局蔡代理局長長展   多萬  陳議員美雅 這些 經費 也 只夠 做 什麼 只夠 做 滯洪池  本席 其實 針對 台泥 的 滯洪池 部分 一直 在 要求 高雄市 中 鼓山區 不是 只要 一個 滯洪池 當地 的 居民 被 台泥 糟蹋 這麼久 當地 的 居民 更 希望 台泥 當你 希望 開發 周邊 的 同時 你 從 一個 工業區變更 成為 一個 特商 變更 成為 住商 你 的 土地 價值 飆升 多少倍 的 同時 你 有沒有 回饋 當地 的 社區 當初 很多 民眾 一直 希望 台泥 在 開發 時 它 要 賺錢 沒 有關 係 但是 你 要 兼顧 當地 的 民眾 因為 你 在 開採 那個 地方 的 時候 造成 當地 民眾 多少 健康 的 傷害  所以 台泥 這邊 我 希望 水利局 除了 滯洪池 以外 你們 也 應該 要 負起 你們 的 道德 勇氣 應該 要求 台泥 是不是 應該 在 滯洪池 周邊 的 公共設施 因為 你們 講說 你們 上面 的 報告 告訴 我們 說 市政府 已經 沒有經費 了 沒有 辦法 在 做 其他 休憩 的 設施 對 不 對 你們 沒有 辦法 你們 目前 的 經費 也 只夠 做好 這個 滯洪池 因此 本席 要求 台泥 應該 也 要 負起 它們 對 社區 的 責任 並且 回饋 社區 譬如 當地 可能 缺乏 活動中心 甚至 當地 也 沒有 兒童 遊戲 區 所以 在 它 要 舉行 開發 的 同時 應該 要 兼顧 照顧 當地 的 這些 公共設施 就 像 你 剛剛 講的 它 本來 就 應該 要 釋放出 一些 公共設施 的 空間 是不是 所以 在 你們 興建 這個 滯洪池 的 同時 本席 希望 你 要 把 這些 報告 也 要 帶回去 和 台泥 在 做 協商 的 時候 請 你們 也 要 把 它 提出 來 好不好 這是 第三 大部分 
89, 一個 部分 本席 也 要 請 你 會後 再 提供 資料 給 本席 因為 時間 有限  高雄市 登革熱 的 問題 非常 的 嚴重 登革熱 問題 後來 我 去 大樓 周邊 幫助 他們 做會 勘時 當然 也 有 麻煩 水利局 的 同仁 到 現場 很多 的 大樓 主委 都 有 建議 因為 高雄市 非常 的 奇怪 你 不管 去 哪裡 而且 是 大樓 他們 說 美雅 議員 為什麼 我們 住 在 大樓 的 十幾 樓 裡面 結果 還是 一直 被 蚊子 叮 而且 他們 可能 住 在 凹 仔底 農森林公園 的 周邊 那麼 好 的 一個 居住 環境 的 住宅區 大樓 居然 都 被 蚊子 叮 然後 他 說 你們 到 一樓 的 管理室 去 看 只要 在 那邊 站個 幾分鐘 腳 馬上 被 叮成 紅豆冰  所以 本席 要 建議 水利局 你們 似乎 在 之前 曾經 有 在 排水溝 上 面試 做過 鐵絲網 還是 一些 什麼 來 防止 蚊蟲 從 那個 地方 跑 出來 因為 當地 這些 住戶 去 看 現場 的 時候 他們 發現 很多 蚊蟲 都 從 那些 地方 跑 出來  登革熱 真的 是 高雄 市民 生活 上 很大 的 痛苦 所以 水利局 長 我 希望 是不是 能夠 請 這些 水利局 的 同仁 用 你們 的 專業 再 去 評估 看看 這個 部分 有沒有 辦法 去 克服 就是 不要 影響 到 排洪 的 功能 之外 又 能夠 做到 防治 登革熱 在技術上 到底 可不 可行 可以 嗎 好不好 水利局蔡代理局長長展 好  陳議員美雅 你 去 研究 一下 我 不 希望 在 今年 再 看到 本席 的 轄區 有 任何 這些 蚊蟲 的 問題 因為 實在太 嚴重 了  你們 專責 的 單位 我給 你 一個 禮拜 的 時間 你 再 提供 給 本席 好不好 水利局蔡代理局長長展 好  陳議員美雅 可以 嗎 水利局蔡代理局長長展 可以 
90, 陳議員美雅 最後 一個 問題 本席 在 每年 都 曾經 有 提到 上 一任 的 局長 其實 也 有 編列 經費 他 有 贊同 本席 的 建議 也 編列 經費 因為 鼓山區 的 柴山 有 當地 民眾 反映 已經 發生 位移 的 現象  為什麼 會 位移 呢 因為 海水 侵蝕 的關 係  你們 那 時候 有 承諾 本席 你們 會 逐年 編列 經費 然後 防止 海岸線 的 侵蝕 和 防止 位移 保障 當地 居民 的 生活 安全  因此 本席 建議 是不是 你們 能夠 把 這個 部分 目前 觀測 的 結果 為何 一樣 再 提供 詳細資料 給 本席  旗津區風車公園 的 部分 還有 旗津區 目前 海岸線 你們 做 的 潛堤 的 部分 可能 和 工務局 是 有 相關 的 再 麻煩 你們 和 工務局 這邊 共同 把 詳細 的 資料 提供 給 本席 我給 你 一點 時間 請 在 總質詢 質詢 之前 把 相關 資料 提供 出來 好不好 因為 時間 有限 可以 承諾 嗎 可以 嗎 水利局蔡代理局長長展 可以  陳議員美雅 可以 好 謝謝 
91, 接著 本席 要 請教 農業局 長 農業局 長 在 每 一年 農業局 都 有 帶團 到 日本 宣導 高雄市 的 農產品 我 想 知道 在 這 三年 來 高雄市 對外 輸出 我們 的 農產品 部分 針對 日本 我們 大概 呈現 多少 成長 比例 你 手上 現在 有 資料 嗎 這是 第一 個 問題 針對 高雄市 的 農產品 如何 提升 它 的 價值 能夠 對外 輸出 第一 個 部分  第二個 部分 本席 要 請教 的 是 目前 我們 看到 農業局 有 在 推廣 農夫市集 這個 非常 好 因為 鼓勵 大家 讓 高雄 市民 都 能夠 吃 到 健康 的 這些 天然 食材 本席 希望 是否 能夠 更 普及 到 各個 校園 去 也許 校園 有 一些 場地 讓 那些 爺爺 奶奶 和 小朋友 都 可以 在 校園 體驗 種植 的 樂趣 這個 部分 希望 普及 到 各個 校園 讓 我們 的 學生 也 可以 體驗 到 農趣 這是 第二 大部分  第三 大部分 本席 想要 請 農業局 長 提供 資料 給 本席 的 是 有關 於 農業局 管轄 投資 公司 的 部分 你們 目前 是 有 哪 一些 部分 哪 幾家 局長 你 知道 嗎 主席 林議員富寶 投資 啦 請 局長 回答  農業局蔡局長復進 我們 投資 的 有 高雄果菜公司 和 高雄肉品 公司  陳議員美雅 這 兩家 嗎 農業局蔡局長復進 對 這 兩家  陳議員美雅 本席  農業局蔡局長復進 高雄果菜公司 和 高雄肉品 公司  陳議員美雅 這 兩家 嘛 主席 林議員富寶 延長  分鐘  陳議員美雅 針對 這 兩家 公司 董事長 和 總經理 是 農業局 這邊 推薦 還是 市長 推薦 還是 是 由 民間 推薦 的 你 知道 嗎 還是 你 到時候 再 提供 資料 給 本席  農業局蔡局長復進 到時候 再 提供 資料 因為 他 是 由 董事會 遴選  陳議員美雅 我 知道 我 想 了解 高雄市政府 的 官股 有 多少 我們 的 董監事 各 為何 農業局蔡局長復進 我們 官股 是  農會 是   陳議員美雅 我們 有 推薦 幾席 董監事 在 裡面 呢 農業局蔡局長復進 這個 我 要查 一下 再 提供 給 議員  陳議員美雅 你 把 這些 相關 資料 還有 董事長 總經理 的 薪水 各是 為何 麻煩 也 提供 給 本席  剛才 本席 問的 那 三個 問題 請 農業局 一 併 提供 資料 給 本席  特別 是 希望 校園 這個 部分 我們 希望 學生 吃 的 食材 可以 更 安全 我 希望 要來 做 推廣 謝謝 農業局 長期 在 農夫市集 做 新鮮 食材 的 推廣 這是 本席 要 給予 肯定 的 
92, 另外 本席 要 請教 海洋局 我們 目前 看到 興達港 的 計畫 和 南星計畫 問題 是 南星計畫 目前為止 是不是 一直 都還 沒有 進度 請 局長 答覆  主席 林議員富寶 請 局長 答覆  海洋局柯代理局長尚余 現在 南星 不是 沒有 進度 南星計畫 遊艇 園區 的 部分 現在 是  陳議員美雅 還停 著 我 先 把 問題 問完 局長 我們 現在 看到 的 是 都還 沒有 廠商 進駐 嘛 對 不 對 因為 你們 還卡 在 其他 地方 上 的 聲音 有 不同 意見 我 希望 你 要 去 做 以下 幾件 事情 第一 我 希望 能夠 多 創造 一點 因為 海洋 和 旗津 密切 相連 所以 是否 能夠 多 保障 旗津區 很多 居民 和 海洋 相關 船艇 業的 就業機會 我 希望 未來 再有 專區 的 時候  海洋局柯代理局長尚余 現在 進駐 的 廠商 還 沒有 確定   進駐 的 廠商 我們 希望 他 優先 僱用 在 地 的 居民 因為 涉及 到 造船業 遊艇 產業 它 是 一個 是 精 緻 工業 的 部分 如果 當地 有 這 樣子 的 技術 人才 我們 會 介紹 給 他們 說 這個 是不是 應該 要 優先 僱用 當地 具有 這些 技術 的 人才   因為 進駐 廠商 之後 我們 只能 針對 園區 整體 管理 的 部分  對 於 整個 原本 一些 規範 的 督導 督導 的 部分 是 由 海洋局 持續 來 做 督導   目前 還 沒有 很 確定 這個 部分 是 屬於  我 記得 是 在 市區 七賢路 那個 國小 很 傳統 有 一個 小學 它 持續 都 有 在 推動 帆船 類似 的 海洋 運動   會後 我們 會 馬上 和 他 接觸 
